# Sample log file
[D 2021-10-16 13:21:52] [0] FPS:18.2/0, L:14.6/14.8, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:21:57] [0] FPS:20.0/0, L:14.6/15.1, B:0.5/10.0, N:0/0/0
[D 2021-10-16 13:22:03] [0] FPS:16.9/0, L:14.6/16.0, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:09] [0] FPS:16.3/0, L:14.7/16.8, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:14] [0] FPS:19.3/0, L:14.6/14.8, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:20] [0] FPS:18.0/0, L:14.6/14.8, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:25] [0] FPS:19.3/0, L:14.6/14.9, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:30] [0] FPS:20.0/0, L:14.6/14.9, B:0.5/10.0, N:0/0/0
[D 2021-10-16 13:22:35] [0] FPS:19.3/0, L:14.7/14.8, B:0.4/10.0, N:0/0/0
[D 2021-10-16 13:22:40] [0] FPS:18.6/0, L:14.6/14.8, B:0.5/10.0, N:0/18/0
[D 2021-10-16 13:22:46] [0] FPS:18.0/0, L:14.6/14.9, B:0.4/10.0, N:0/18/0
[D 2021-10-16 13:22:51] [0] FPS:18.6/0, L:14.6/15.0, B:0.4/10.0, N:0/18/0
[D 2021-10-16 13:22:56] [0] FPS:19.3/0, L:14.6/14.8, B:0.5/10.0, N:0/18/0
[D 2021-10-16 13:23:02] [0] FPS:17.7/0, L:14.5/15.2, B:0.5/10.0, N:0/18/0
[D 2021-10-16 13:23:06] [0] FPS:24.2/0, L:9.1/17.0, B:0.9/10.0, N:0/18/0
[D 2021-10-16 13:23:09] [0] FPS:32.9/0, L:6.9/8.4, B:2.7/10.0, N:0/18/0
[D 2021-10-16 13:23:12] [0] FPS:31.6/0, L:6.8/7.3, B:0.7/10.0, N:0/18/0
